original_housenumber,original_street,original_postcode,original_city,original_state,original_country,lat,lon,formatted,postcode,housenumber,street,suburb,name,district,county,state_code,county_code,city,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
NA,NA,NA,Sankt Petersburg,NA,Russland,59.938732,30.316229,"Sankt Petersburg, Russland",,,,,Sankt Petersburg,,,,,Sankt Petersburg,Sankt Petersburg,Russland,ru,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Venezia,NA,Italien,45.4371908,12.3345898,"Venedig, Venezia, Italien",,,,,,,Venezia,,VE,Venedig,Venetien,Italien,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Dresden,NA,Deutschland,51.0493286,13.7381437,"Dresden, SN, Deutschland",,,,,,,,SN,,Dresden,Sachsen,Deutschland,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Hamburg,NA,Deutschland,53.550341,10.000654,"Hamburg, Deutschland",,,,,,,,,,Hamburg,,Deutschland,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Padova,NA,Italien,45.4077172,11.8734455,"Padua, Padova, Italien",,,,,,,Padova,,PD,Padua,Venetien,Italien,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Napoli,NA,Italien,40.8358846,14.2487679,"Neapel, Metropolitanstadt Neapel, Italien",,,,,,,Metropolitanstadt Neapel,,,Neapel,Kampanien,Italien,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Roma,NA,Italien,41.8933203,12.4829321,"Rom, Roma Capitale, Italien",,,,,,,Roma Capitale,,,Rom,Latium,Italien,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Bologna,NA,Italien,44.4938203,11.3426327,"Bologna, Italien",,,,,,,Bologna,EMI,BO,Bologna,Emilia-Romagna,Italien,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Torino,NA,Italien,45.0677551,7.6824892,"Turin, Torino, Italien",,,,,,,Torino,,TO,Turin,Piemont,Italien,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Weimar,NA,Deutschland,50.9810486,11.3296637,"Weimar, TH, Deutschland",,,,,,,,TH,,Weimar,Thüringen,Deutschland,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Bonn,NA,Deutschland,50.735851,7.10066,"Bonn, NW, Deutschland",,,,,,,,NW,,Bonn,Nordrhein-Westfalen,Deutschland,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Paris,NA,Frankreich,48.8566969,2.3514616,"Paris, IDF, Frankreich",,,,,,,,IDF,,Paris,Île-de-France,Frankreich,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Braunschweig,NA,Deutschland,52.2646577,10.5236066,"Braunschweig, NI, Deutschland",,,,,,,,NI,,Braunschweig,Niedersachsen,Deutschland,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Wien,NA,Österreich,48.2083537,16.3725042,"Wien, Österreich",,,,,,,,,,Wien,,Österreich,at,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Genova,NA,Italien,44.40726,8.9338624,"Genua, Italien",,,,,,,Genua,,,Genua,Ligurien,Italien,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Breslau,NA,Polen,51.1089776,17.0326689,"Breslau, Woiwodschaft Niederschlesien, Polen",,,,,,,,,,Breslau,Woiwodschaft Niederschlesien,Polen,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Donaueschingen,NA,Deutschland,47.9534194,8.4959257,"78166 Donaueschingen, Deutschland",78166,,,,,,Schwarzwald-Baar-Kreis,BW,,Donaueschingen,Baden-Württemberg,Deutschland,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Osnabrück,NA,Deutschland,52.2719595,8.047635,"Osnabrück, NI, Deutschland",,,,,,,,NI,,Osnabrück,Niedersachsen,Deutschland,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Dessau,NA,Deutschalnd,51.839882,12.234789,"Dessau Hauptbahnhof, Fritz-Hesse-Straße 47, 06844 Dessau-Roßlau, Deutschland",06844,47,Fritz-Hesse-Straße,,Dessau Hauptbahnhof,Dessau-Roßlau,Dessau-RoÃlau,ST,,Dessau-Roßlau,Sachsen-Anhalt,Deutschland,de,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Praha,NA,Tschechien,50.0874654,14.4212535,"Hauptstadt Prag, Prag, Tschechien",,,,,,,,,,Hauptstadt Prag,Prag,Tschechien,cz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Amsterdam,NA,Niederlande,52.3727598,4.8936041,"Amsterdam, Nordholland, Niederlande",,,,,,,,,,Amsterdam,Nordholland,Niederlande,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Verona,NA,Italien,45.4384958,10.9924122,"Verona, Italien",,,,,,,Verona,,VR,Verona,Venetien,Italien,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Valletta,NA,Malta,35.8989818,14.5136759,"Valletta, Xlokk, Malta",,,,,,,,,,Valletta,Xlokk,Malta,mt,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Milano,NA,Italien,45.4641943,9.1896346,"Mailand, Italien",,,,,,,Mailand,,,Mailand,Lombardei,Italien,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Ravenna,NA,Italien,44.4161414,12.2017617,"Ravenna, Italien",,,,,,,Ravenna,EMI,RA,Ravenna,Emilia-Romagna,Italien,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Frankfurt am Main,NA,Deutschland,50.1106444,8.6820917,"Frankfurt am Main, HE, Deutschland",,,,,,,,HE,,Frankfurt am Main,Hessen,Deutschland,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Leipzig,NA,Deutschland,51.3406321,12.3747329,"Leipzig, SN, Deutschland",,,,,,,,SN,,Leipzig,Sachsen,Deutschland,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Pillnitz,NA,Deutschland,51.0126628,13.8713801,"Pillnitz, 01259 Dresden, Deutschland",01259,,,Pillnitz,Pillnitz,Loschwitz,,SN,,Dresden,Sachsen,Deutschland,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Detmold,NA,Deutschland,51.936284,8.8791526,"Detmold, NW, Deutschland",,,,,,,Kreis Lippe,NW,,Detmold,Nordrhein-Westfalen,Deutschland,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Puschkin,NA,Russland,59.722256,30.415731,"Puschkin, Sankt Petersburg, Russland",,,,,,,,,,Puschkin,Sankt Petersburg,Russland,ru,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Firenze,NA,Italien,43.7698712,11.2555757,"Florenz, Firenze, Italien",,,,,,,Firenze,,FI,Florenz,Toskana,Italien,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Graz,NA,Österreich,47.0708678,15.4382786,"Graz, Steiermark, Österreich",,,,,,,,,,Graz,Steiermark,Österreich,at,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Castelnuovo,NA,Italien,46.0528587,11.4932817,"Castelnuovo, Autonome Provinz Trient, Italien",,,,,,,Autonome Provinz Trient,,,Castelnuovo,Trentino-Südtirol,Italien,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Salzburg,NA,Österreich,47.7981346,13.0464806,"5020 Salzburg, Österreich",5020,,,,,,,,,Salzburg,Salzburg,Österreich,at,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Regensburg,NA,Deutschland,49.0195333,12.0974869,"Regensburg, BY, Deutschland",,,,,,,,BY,,Regensburg,Bayern,Deutschland,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Vicenza,NA,Italien,45.5488306,11.5478825,"Vicenza, Italien",,,,,,,Vicenza,,VI,Vicenza,Venetien,Italien,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Hannover,NA,Deutschland,52.3744779,9.7385532,"Hannover, NI, Deutschland",,,,,,,Region Hannover,NI,,Hannover,Niedersachsen,Deutschland,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Bad Lauchstädt,NA,Deutschland,51.3892615,11.8725818,"Am Bahnhof, 06246 Goethestadt Bad Lauchstädt, Deutschland",06246,,Am Bahnhof,Kleinlauchstädt,Bad Lauchstädt,,Saalekreis,ST,,Goethestadt Bad Lauchstädt,Sachsen-Anhalt,Deutschland,de,0.95,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Karlsruhe,NA,Deutschland,49.0068705,8.4034195,"Karlsruhe, BW, Deutschland",,,,,,,,BW,,Karlsruhe,Baden-Württemberg,Deutschland,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,London,NA,England,51.5073219,-0.1276474,"London, Groß-London, ENG, Vereinigtes Königreich",,,,,,,Groß-London,ENG,,London,England,Vereinigtes Königreich,gb,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Udine,NA,Italien,46.0634632,13.2358377,"33100 Udine Udine, Italien",33100,,,,,,Udine,,UD,Udine,Friaul-Julisch Venetien,Italien,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Potsdam,NA,Deutschland,52.4009309,13.0591397,"Potsdam, BB, Deutschland",,,,,,,,BB,,Potsdam,Brandenburg,Deutschland,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NA,NA,NA,Faenza,NA,Italien,44.2855555,11.8832055,"48018 Faenza RA, Italien",48018,,,,,,Ravenna,EMI,RA,Faenza,Emilia-Romagna,Italien,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright